MovieID,Title,Year,Budget
1,Toy Story (1995),1995,10685425
2,Jumanji (1995),1995,18656746
3,Grumpier Old Men (1995),1995,7323119
4,Waiting to Exhale (1995),1995,N/A
5,Father of the Bride Part II (1995),1995,10777966
6,Heat (1995),1995,N/A
7,Sabrina (1995),1995,9498194
8,Tom and Huck (1995),1995,11636471
9,Sudden Death (1995),1995,14600147
10,GoldenEye (1995),1995,19183206
11,"American President, The (1995)",1995,17447917
12,Dracula: Dead and Loving It (1995),1995,N/A
13,Balto (1995),1995,18137292
14,Nixon (1995),1995,10227626
15,Cutthroat Island (1995),1995,18350619
16,Casino (1995),1995,18216817
17,Sense and Sensibility (1995),1995,16345879
18,Four Rooms (1995),1995,15583064
19,Ace Ventura: When Nature Calls (1995),1995,8685570
20,Money Train (1995),1995,6389226
21,Get Shorty (1995),1995,18516416
22,Copycat (1995),1995,N/A
23,Assassins (1995),1995,19316017
24,Powder (1995),1995,13203291
25,Leaving Las Vegas (1995),1995,7463248
26,Othello (1995),1995,6869176
27,Now and Then (1995),1995,11449232
28,Persuasion (1995),1995,6590202
29,"City of Lost Children, The (1995)",1995,16232360
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,8083339
31,Dangerous Minds (1995),1995,12986969
32,Twelve Monkeys (1995),1995,10684987
33,Wings of Courage (1995),1995,5485853
34,Babe (1995),1995,6244617
35,Carrington (1995),1995,9672247
36,Dead Man Walking (1995),1995,16719573
37,Across the Sea of Time (1995),1995,8291842
38,It Takes Two (1995),1995,11938073
39,Clueless (1995),1995,14551646
40,"Cry, the Beloved Country (1995)",1995,5887271
41,Richard III (1995),1995,17382111
42,Dead Presidents (1995),1995,15661190
43,Restoration (1995),1995,5139319
44,Mortal Kombat (1995),1995,13711432
45,To Die For (1995),1995,6767816
46,How to Make an American Quilt (1995),1995,9674981
47,Seven (Se7en) (1995),1995,10052890
48,Pocahontas (1995),1995,14347881
49,When Night Is Falling (1995),1995,17916558
50,"Usual Suspects, The (1995)",1995,7634080
51,Guardian Angel (1994),1994,6755879
52,Mighty Aphrodite (1995),1995,7849390
53,Lamerica (1994),1994,10589365
54,"Big Green, The (1995)",1995,14009639
55,Georgia (1995),1995,16246607
56,Kids of the Round Table (1995),1995,14824459
57,Home for the Holidays (1995),1995,14220281
58,"Postino, Il (The Postman) (1994)",1994,14434458
59,"Confessional, The (Le Confessionnal) (1995)",1995,8091617
60,"Indian in the Cupboard, The (1995)",1995,17681856
61,Eye for an Eye (1996),1996,11351055
62,Mr. Holland's Opus (1995),1995,11426584
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996,18532595
64,Two if by Sea (1996),1996,13161019
65,Bio-Dome (1996),1996,15683572
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996,6679948
67,Two Bits (1995),1995,9118151
68,French Twist (Gazon maudit) (1995),1995,6024037
69,Friday (1995),1995,9270126
70,From Dusk Till Dawn (1996),1996,9821905
71,Fair Game (1995),1995,9962761
72,Kicking and Screaming (1995),1995,14685863
73,"Mis�rables, Les (1995)",1995,16353528
74,Bed of Roses (1996),1996,14248961
75,Big Bully (1996),1996,7955951
76,Screamers (1995),1995,5762041
77,Nico Icon (1995),1995,7301517
78,"Crossing Guard, The (1995)",1995,8253226
79,"Juror, The (1996)",1996,19062073
80,"White Balloon, The (Badkonake Sefid ) (1995)",1995,10786817
81,Things to Do in Denver when You're Dead (1995),1995,18383016
82,Antonia's Line (Antonia) (1995),1995,5664789
