UserID,Gender,BirthDate,Occupation,Zipcode
1,Female,2019-05-10,10,48067
2,Male,1964-11-10,16,70072
3,Male,1995-06-27,15,55117
4,Male,1975-11-07,7,02460
5,Male,1995-05-06,20,55455
6,Female,1970-02-27,9,55117
7,Male,1985-06-05,1,06810
8,Male,1995-05-27,12,11413
9,Male,1995-03-13,17,61614
10,Female,1985-07-29,1,95370
11,Female,1995-10-01,1,04093
12,Male,1995-01-21,12,32793
13,Male,1975-06-18,1,93304
14,Male,1985-06-09,0,60126
15,Male,1995-01-02,7,22903
16,Female,1985-07-17,0,20670
17,Male,1970-11-19,1,95350
18,Female,2002-05-27,3,95825
19,Male,2019-06-04,10,48073
20,Male,1995-08-11,14,55113
21,Male,2002-05-04,16,99353
22,Male,2002-04-15,15,53706
23,Male,1985-05-05,0,90049
24,Female,1995-04-15,7,10023
25,Male,2002-02-06,4,01609
26,Male,1995-01-03,7,23112
27,Male,1995-01-03,11,19130
28,Female,1995-03-08,1,14607
29,Male,1985-11-13,7,33407
30,Female,1985-07-18,7,19143
31,Male,1964-05-16,7,06840
32,Female,1995-06-22,0,19355
33,Male,1975-04-11,3,55421
34,Female,2002-10-28,0,02135
35,Male,1975-04-05,1,02482
36,Male,1995-09-20,3,94123
37,Female,1995-05-28,9,66212
38,Female,2002-10-24,4,02215
39,Male,2002-09-26,4,61820
40,Male,1975-02-12,0,10543
41,Female,2002-01-18,4,15116
42,Male,1995-08-04,8,24502
43,Male,1995-10-18,12,60614
44,Male,1975-04-23,17,98052
45,Female,1975-08-22,16,94110
46,Male,2002-08-03,19,75602
47,Male,2002-11-07,4,94305
48,Male,1995-05-24,4,92107
49,Male,2002-08-01,12,77084
50,Female,1995-01-25,2,98133
51,Female,2019-02-25,10,10562
52,Male,2002-10-02,4,72212
53,Male,1995-08-18,0,96931
54,Male,1970-11-14,1,56723
55,Female,1985-06-13,12,55303
56,Male,1985-04-07,20,60440
57,Male,2002-08-13,19,30350
58,Male,1995-05-06,2,30303
59,Female,1970-01-08,1,55413
60,Male,1970-03-10,1,72118
61,Male,1995-10-14,17,95122
62,Female,1985-03-30,3,98105
63,Male,2002-10-06,4,54902
64,Male,2002-07-08,1,53706
65,Male,1985-11-22,12,55803
66,Male,1995-08-29,18,57706
67,Female,1970-11-21,5,60181
68,Male,2002-09-11,4,53706
69,Female,1995-04-21,1,02143
70,Male,2002-04-05,4,53703
71,Male,1995-05-08,14,95008
72,Female,1975-01-09,0,55122
73,Male,2002-04-01,4,53706
74,Male,1985-06-20,14,94530
75,Female,2019-02-01,10,01748
76,Male,1985-07-20,7,55413
77,Male,2002-06-18,4,15321
78,Female,1975-07-09,1,98029
79,Female,1975-03-02,0,98103
80,Male,1964-09-13,1,49327
81,Female,1995-11-16,0,60640
82,Male,1995-01-28,17,48380
83,Female,1995-08-30,2,94609
84,Male,2002-03-12,4,53140
85,Male,2002-06-18,4,94945
86,Female,2019-07-13,10,54467
87,Male,1995-10-05,14,48360
88,Female,1975-11-27,1,02476
89,Female,1964-03-12,9,85749
90,Male,1964-10-24,13,85749
91,Male,1985-05-16,7,07650
92,Female,2002-08-13,4,44243
93,Male,1995-11-15,17,95825
94,Male,1995-03-24,17,28601
95,Male,1975-07-27,0,98201
96,Female,1995-06-21,16,78028
97,Female,1985-04-17,3,66210
98,Female,1985-06-28,7,33547
99,Female,2019-09-15,10,19390
100,Male,1985-07-09,17,95401
101,Female,2002-05-14,3,33314
102,Male,1985-09-29,19,20871
103,Male,1975-10-12,7,92104
104,Male,1995-02-08,12,00926
105,Male,1975-01-26,12,90277
106,Female,1985-06-07,11,79101
